SearchEngine	Keyword	Title	Text	MediaName	MediaTypeName	MediaRegionName	Url	PubDate	Forward	Reply	View	AuthorName	Source	AuthorCertificated	Sex	Region	Descript	Caption	Company	Education	Fans	Follows	Comments	Product	ItemID
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款 (分享自 @新浪财经) |别克4S店遭.		新浪微博	Weibo	Unknown	http://weibo.com/3931071098/CcyGs9cN5	2015-4-10 4:16:00	0	0	0	ls39h	分享按钮	NoneCertificated							0	0	0		a46926bb247100528d5bf2fe9b9f7c9a
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款:http://t.cn/RA6hzzQ		新浪微博	Weibo	Unknown	http://weibo.com/5334460004/CcvX7yW3K	2015-4-9 21:18:00	0	0	0	插排不够用啊	WeiInf	NoneCertificated							0	0	0		309c4270b0a4f94c3c3c3809c28b5072
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款:http://t.cn/RA6hzzQ		新浪微博	Weibo	Unknown	http://weibo.com/5334460004/CcvCC6atW	2015-4-9 20:28:00	0	0	0	插排不够用啊	WeiInf	NoneCertificated							0	0	0		27458e8fcb452a70fc1dc0a94abe8d8c
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款:http://t.cn/RA6hzzQ		新浪微博	Weibo	Unknown	http://weibo.com/5334460004/CcvAacjvn	2015-4-9 20:22:00	0	0	0	插排不够用啊	WeiInf	NoneCertificated							0	0	0		2810c6b7d4a9ecd8b8a263f94397783e
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款:http://t.cn/RA6hzzQ		新浪微博	Weibo	Unknown	http://weibo.com/5334460004/CcvzXcHpb	2015-4-9 20:21:00	0	0	0	插排不够用啊	WeiInf	NoneCertificated							0	0	0		8039b076b3f59bb8f719616676effcbf
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款:http://t.cn/RA6hzzQ		新浪微博	Weibo	Unknown	http://weibo.com/5334460004/CcvyWx8KY	2015-4-9 20:19:00	0	0	0	插排不够用啊	WeiInf	NoneCertificated							0	0	0		965b7340419f74d2f1236d2d1ed7aca6
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款:http://t.cn/RA6hzzQ		新浪微博	Weibo	Unknown	http://weibo.com/5334460004/CcvxXp91x	2015-4-9 20:16:00	0	0	0	插排不够用啊	WeiInf	NoneCertificated							0	0	0		51b9db442954ab48a09d73733cebb3b9
新浪微博搜索	@别克 提车	发表了博文《陈老师泄油瘦身汤官网别克4S店遭投诉:消费者购15款昂科拉提车变14款》长沙曾女士向本网反映,陈老师泄油瘦身汤去年12月她在湖南申湘别克4S店购买了一台别克昂科拉SUV。当时和负责接待的销|陈老师泄油.		新浪微博	Weibo	Unknown	http://weibo.com/5342409603/CcuDzoBoE	2015-4-9 17:57:00	0	0	0	安睡844d	新浪博客	NoneCertificated							0	0	0		e563a78de92799910806cafdd0c37a54
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款		新浪微博	Weibo	Unknown	http://weibo.com/2269883635/CcuAjiLRn	2015-4-9 17:49:00	0	0	0	英超射手	IFTTTOfficial	Personal							0	0	0		8cf5a6b7cbf68c6a8c905c4ff335409f
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款		新浪微博	Weibo	Unknown	http://weibo.com/3204838683/CcuAgCXLq	2015-4-9 17:49:00	0	0	0	曼城10号	IFTTTOfficial	Personal							0	0	0		f41d4884b0ba9c85cb8759613e30ec7d
新浪微博搜索	@别克 提车	别克4S店遭投诉:消费者购15款昂科拉提车变14款 (分享自 @新浪财经) |别克4S店遭.		新浪微博	Weibo	Unknown	http://weibo.com/1641461590/CcuxK0NGz	2015-4-9 17:43:00	0	0	0	Daalon	分享按钮	Personal							0	0	0		90be94d7cae963f69a5a17d4893fee6d
